distance,p
1.46625,101326
1.46798,101326
1.4697,101326
1.47143,101326
1.47315,101326
1.47487,101326
1.4766,101326
1.47833,101326
1.48005,101326
1.48178,101326
1.4835,101326
1.48522,101326
1.48695,101326
1.48867,101326
1.4904,101326
1.49213,101326
1.49385,101326
1.49558,101326
1.4973,101326
1.49902,101326
1.50075,101326
1.50248,101326
1.5042,101325
1.50593,101325
1.50765,101325
1.50937,101325
1.5111,101325
1.51283,101325
1.51455,101325
1.51628,101325
1.518,101325
1.51973,101325
1.52145,101325
1.52318,101325
1.5249,101325
1.52663,101325
1.52835,101325
1.53008,101325
1.5318,101325
1.53352,101325
1.53525,101325
1.53698,101325
1.5387,101325
1.54043,101325
1.54215,101325
1.54387,101325
1.5456,101325
1.54733,101325
1.54905,101325
1.55078,101325
1.5525,101325
1.55422,101325
1.55595,101325
1.55768,101325
1.5594,101325
1.56113,101325
1.56285,101325
1.56457,101325
1.5663,101325
1.56802,101325
1.56975,101325
1.57148,101325
1.5732,101325
1.57493,101325
1.57665,101325
1.57837,101325
1.5801,101325
1.58183,101325
1.58355,101325
1.58528,101325
1.587,101325
1.58872,101325
1.59045,101325
1.59218,101325
1.5939,101325
1.59563,101325
1.59735,101325
1.59908,101325
1.6008,101325
1.60252,101325
1.60425,101325
1.60598,101325
1.6077,101325
1.60943,101325
1.61115,101325
1.61287,101325
1.6146,101325
1.61633,101325
1.61805,101325
1.61978,101325
1.6215,101325
1.62322,101325
1.62495,101325
1.62668,101325
1.6284,101325
1.63013,101325
1.63185,101325
1.63357,101325
1.6353,101325
1.63702,101325
1.63875,101325
1.64048,101325
1.6422,101325
1.64393,101325
1.64565,101325
1.64737,101325
1.6491,101325
1.65083,101325
1.65255,101325
1.65428,101325
1.656,101325
1.65772,101325
1.65945,101325
1.66118,101325
1.6629,101325
1.66463,101325
1.66635,101325
1.66807,101325
1.6698,101325
1.67153,101325
1.67325,101325
1.67498,101325
1.6767,101325
1.67843,101325
1.68015,101325
1.68187,101325
1.6836,101325
1.68533,101325
1.68705,101325
1.68878,101325
1.6905,101325
1.69222,101325
1.69395,101325
1.69568,101325
1.6974,101325
1.69913,101325
1.70085,101325
1.70257,101325
1.7043,101325
1.70603,101325
1.70775,101325
1.70948,101325
1.7112,101325
1.71293,101325
1.71465,101325
1.71637,101325
1.7181,101325
1.71983,101325
1.72155,101325
1.72328,101325
1.725,101325
