distance,U
1.17645,0.150412
1.17817,0.151324
1.1799,0.152236
1.18163,0.153149
1.18335,0.154089
1.18508,0.155059
1.1868,0.156028
1.18852,0.156998
1.19025,0.157968
1.19197,0.158937
1.1937,0.15995
1.19543,0.160982
1.19715,0.162013
1.19887,0.163045
1.2006,0.164077
1.20233,0.165109
1.20405,0.166201
1.20578,0.1673
1.2075,0.168399
1.20922,0.169498
1.21095,0.170597
1.21268,0.171703
1.2144,0.172875
1.21613,0.174047
1.21785,0.175219
1.21957,0.176391
1.2213,0.177563
1.22303,0.178759
1.22475,0.180009
1.22648,0.18126
1.2282,0.182511
1.22993,0.183761
1.23165,0.185012
1.23338,0.186306
1.2351,0.187642
1.23682,0.188979
1.23855,0.190315
1.24028,0.191651
1.242,0.192988
1.24373,0.19439
1.24545,0.19582
1.24717,0.197249
1.2489,0.198679
1.25063,0.200109
1.25235,0.201538
1.25408,0.203061
1.2558,0.204593
1.25752,0.206125
1.25925,0.207657
1.26098,0.209189
1.2627,0.210734
1.26443,0.212378
1.26615,0.214022
1.26787,0.215666
1.2696,0.21731
1.27132,0.218954
1.27305,0.220637
1.27478,0.222404
1.2765,0.224171
1.27822,0.225937
1.27995,0.227704
1.28167,0.229471
1.2834,0.231308
1.28513,0.233209
1.28685,0.235109
1.28858,0.23701
1.2903,0.238911
1.29203,0.240812
1.29375,0.24282
1.29548,0.244869
1.2972,0.246917
1.29893,0.248966
1.30065,0.251015
1.30238,0.253064
1.3041,0.255265
1.30582,0.257479
1.30755,0.259693
1.30928,0.261907
1.311,0.264121
1.31273,0.266358
1.31445,0.268758
1.31617,0.271157
1.3179,0.273556
1.31963,0.275956
1.32135,0.278355
1.32308,0.280823
1.3248,0.28343
1.32652,0.286037
1.32825,0.288644
1.32998,0.291251
1.3317,0.293858
1.33343,0.296588
1.33515,0.299425
1.33687,0.302263
1.3386,0.305101
1.34032,0.307938
1.34205,0.310776
1.34378,0.313801
1.3455,0.316896
1.34722,0.319991
1.34895,0.323085
1.35067,0.32618
1.3524,0.329275
1.35413,0.332637
1.35585,0.33602
1.35758,0.339404
1.3593,0.342788
1.36102,0.346171
1.36275,0.349594
1.36448,0.353306
1.3662,0.357019
1.36793,0.360731
1.36965,0.364444
1.37138,0.368156
1.3731,0.371986
1.37483,0.376074
1.37655,0.380162
1.37828,0.38425
1.38,0.388339
1.38173,0.392427
1.38345,0.396731
1.38517,0.401249
1.3869,0.405766
1.38863,0.410284
1.39035,0.414802
1.39208,0.419319
1.3938,0.424178
1.39552,0.42919
1.39725,0.434202
1.39898,0.439214
1.4007,0.444226
1.40243,0.449238
1.40415,0.454742
1.40587,0.460324
1.4076,0.465905
1.40933,0.471486
1.41105,0.477068
1.41278,0.482675
1.4145,0.488905
1.41622,0.495136
1.41795,0.501366
1.41967,0.507597
1.4214,0.513827
1.42313,0.52022
1.42485,0.527179
1.42657,0.534137
1.4283,0.541096
1.43002,0.548054
1.43175,0.555013
1.43348,0.562308
1.4352,0.570105
1.43693,0.577902
1.43865,0.585699
1.44038,0.593496
1.4421,0.601293
1.44383,0.609646
1.44555,0.618439
1.44728,0.627232
1.449,0.636024
1.45073,0.644817
1.45245,0.653609
1.45417,0.663265
1.4559,0.673264
1.45763,0.683262
1.45935,0.693261
1.46108,0.703259
1.4628,0.713257
1.46452,0.724489
1.46625,0.735881
1.46798,0.747273
1.4697,0.758665
1.47143,0.770057
1.47315,0.78149
1.47487,0.794346
1.4766,0.807202
1.47833,0.820058
1.48005,0.832914
1.48178,0.845769
1.4835,0.858839
1.48522,0.873232
1.48695,0.887624
1.48867,0.902017
1.4904,0.91641
1.49213,0.930803
1.49385,0.945696
1.49558,0.96163
1.4973,0.977565
1.49902,0.993499
1.50075,1.00943
1.50248,1.02537
1.5042,1.04222
1.50593,1.05957
1.50765,1.07692
1.50937,1.09427
1.5111,1.11162
1.51283,1.12896
1.51455,1.14572
1.51628,1.16247
1.518,1.17923
1.51973,1.19598
1.52145,1.21274
1.52318,1.22794
1.5249,1.23966
1.52663,1.25138
1.52835,1.26309
1.53008,1.27481
1.5318,1.28653
1.53352,1.29507
1.53525,1.3003
1.53698,1.30552
1.5387,1.31075
1.54043,1.31597
1.54215,1.3212
1.54387,1.32447
1.5456,1.32664
1.54733,1.3288
1.54905,1.33097
1.55078,1.33314
1.5525,1.33531
1.55422,1.33741
1.55595,1.3395
1.55768,1.34158
1.5594,1.34366
1.56113,1.34575
1.56285,1.34783
1.56457,1.34991
1.5663,1.352
1.56802,1.35408
1.56975,1.35616
1.57148,1.35825
1.5732,1.36019
1.57493,1.36187
1.57665,1.36355
1.57837,1.36523
1.5801,1.3669
1.58183,1.36858
1.58355,1.37013
1.58528,1.37159
1.587,1.37304
1.58872,1.3745
1.59045,1.37595
1.59218,1.37741
1.5939,1.37885
1.59563,1.38029
1.59735,1.38173
1.59908,1.38317
1.6008,1.38461
1.60252,1.38605
1.60425,1.38745
1.60598,1.38886
1.6077,1.39026
1.60943,1.39167
1.61115,1.39307
1.61287,1.39446
1.6146,1.39577
1.61633,1.39708
1.61805,1.39839
1.61978,1.39971
1.6215,1.40102
1.62322,1.4023
1.62495,1.40354
1.62668,1.40477
1.6284,1.40601
1.63013,1.40724
1.63185,1.40848
1.63357,1.40968
1.6353,1.41087
1.63702,1.41205
1.63875,1.41324
1.64048,1.41443
1.6422,1.41561
1.64393,1.41675
1.64565,1.41787
1.64737,1.41899
1.6491,1.42011
1.65083,1.42122
1.65255,1.42234
1.65428,1.42338
1.656,1.42442
1.65772,1.42545
1.65945,1.42649
1.66118,1.42752
1.6629,1.42855
1.66463,1.42953
1.66635,1.43051
1.66807,1.43149
1.6698,1.43247
1.67153,1.43345
1.67325,1.43442
1.67498,1.43538
1.6767,1.43633
1.67843,1.43729
1.68015,1.43825
1.68187,1.43921
1.6836,1.44016
1.68533,1.4411
1.68705,1.44204
1.68878,1.44298
1.6905,1.44392
1.69222,1.44486
1.69395,1.44579
1.69568,1.44672
1.6974,1.44764
1.69913,1.44857
1.70085,1.4495
1.70257,1.45034
1.7043,1.45097
1.70603,1.4516
1.70775,1.45224
1.70948,1.45287
1.7112,1.45357
1.71293,1.45442
1.71465,1.45527
1.71637,1.45612
1.7181,1.45697
1.71983,1.45771
1.72155,1.45846
1.72328,1.45921
1.725,1.45996
