distance,T
0.926325,939.211
0.92805,937.214
0.929775,935.216
0.9315,933.219
0.933225,931.261
0.93495,929.358
0.936675,927.454
0.9384,925.551
0.940125,923.647
0.94185,921.744
0.943575,919.897
0.9453,918.083
0.947025,916.27
0.94875,914.457
0.950475,912.643
0.9522,910.83
0.953925,909.088
0.95565,907.361
0.957375,905.634
0.9591,903.907
0.960825,902.18
0.96255,900.455
0.964275,898.811
0.966,897.167
0.967725,895.523
0.96945,893.88
0.971175,892.236
0.9729,890.611
0.974625,889.048
0.97635,887.484
0.978075,885.921
0.9798,884.358
0.981525,882.795
0.98325,881.265
0.984975,879.779
0.9867,878.292
0.988425,876.806
0.99015,875.319
0.991875,873.833
0.9936,872.393
0.995325,870.979
0.99705,869.565
0.998775,868.151
1.0005,866.737
1.00223,865.323
1.00395,863.967
1.00568,862.621
1.0074,861.276
1.00912,859.93
1.01085,858.585
1.01258,857.242
1.0143,855.961
1.01603,854.679
1.01775,853.398
1.01947,852.116
1.0212,850.835
1.02293,849.569
1.02465,848.348
1.02638,847.127
1.0281,845.906
1.02982,844.685
1.03155,843.464
1.03328,842.269
1.035,841.104
1.03673,839.94
1.03845,838.776
1.04017,837.612
1.0419,836.448
1.04362,835.318
1.04535,834.207
1.04708,833.096
1.0488,831.985
1.05052,830.874
1.05225,829.764
1.05397,828.695
1.0557,827.634
1.05743,826.573
1.05915,825.513
1.06087,824.452
1.0626,823.393
1.06433,822.38
1.06605,821.366
1.06778,820.352
1.0695,819.338
1.07122,818.324
1.07295,817.321
1.07468,816.351
1.0764,815.381
1.07812,814.411
1.07985,813.442
1.08158,812.472
1.0833,811.521
1.08503,810.592
1.08675,809.664
1.08847,808.735
1.0902,807.807
1.09193,806.878
1.09365,805.975
1.09538,805.086
1.0971,804.196
1.09882,803.306
1.10055,802.417
1.10228,801.527
1.104,800.669
1.10573,799.816
1.10745,798.964
1.10917,798.111
1.1109,797.258
1.11263,796.408
1.11435,795.591
1.11608,794.773
1.1178,793.956
1.11952,793.138
1.12125,792.321
1.12297,791.512
1.1247,790.728
1.12643,789.944
1.12815,789.16
1.12987,788.376
1.1316,787.592
1.13333,786.823
1.13505,786.071
1.13678,785.318
1.1385,784.566
1.14022,783.813
1.14195,783.061
1.14368,782.328
1.1454,781.605
1.14713,780.882
1.14885,780.159
1.15058,779.436
1.1523,778.713
1.15403,778.014
1.15575,777.319
1.15747,776.623
1.1592,775.928
1.16093,775.232
1.16265,774.539
1.16438,773.87
1.1661,773.2
1.16782,772.531
1.16955,771.861
1.17128,771.192
1.173,770.529
1.17473,769.884
1.17645,769.239
1.17817,768.594
1.1799,767.948
1.18163,767.303
1.18335,766.669
1.18508,766.047
1.1868,765.424
1.18852,764.802
1.19025,764.18
1.19197,763.557
1.1937,762.95
1.19543,762.349
1.19715,761.748
1.19887,761.146
1.2006,760.545
1.20233,759.944
1.20405,759.361
1.20578,758.78
1.2075,758.199
1.20922,757.618
1.21095,757.037
1.21268,756.457
1.2144,755.895
1.21613,755.332
1.21785,754.77
1.21957,754.207
1.2213,753.644
1.22303,753.087
1.22475,752.542
1.22648,751.996
1.2282,751.451
1.22993,750.906
1.23165,750.36
1.23338,749.823
1.2351,749.294
1.23682,748.765
1.23855,748.235
1.24028,747.706
1.242,747.177
1.24373,746.658
1.24545,746.143
1.24717,745.628
1.2489,745.113
1.25063,744.599
1.25235,744.084
1.25408,743.581
1.2558,743.079
1.25752,742.577
1.25925,742.076
1.26098,741.574
1.2627,741.073
1.26443,740.583
1.26615,740.093
1.26787,739.603
1.2696,739.113
1.27132,738.623
1.27305,738.136
1.27478,737.657
1.2765,737.178
1.27822,736.698
1.27995,736.219
1.28167,735.74
1.2834,735.265
1.28513,734.796
1.28685,734.326
1.28858,733.856
1.2903,733.386
1.29203,732.917
1.29375,732.453
1.29548,731.992
1.2972,731.532
1.29893,731.071
1.30065,730.61
1.30238,730.149
1.3041,729.695
1.30582,729.241
1.30755,728.787
1.30928,728.333
1.311,727.879
1.31273,727.426
1.31445,726.978
1.31617,726.53
1.3179,726.083
1.31963,725.635
1.32135,725.187
1.32308,724.741
1.3248,724.298
1.32652,723.855
1.32825,723.412
1.32998,722.97
1.3317,722.527
1.33343,722.087
1.33515,721.648
1.33687,721.21
1.3386,720.772
1.34032,720.334
1.34205,719.896
1.34378,719.46
1.3455,719.026
1.34722,718.592
1.34895,718.158
1.35067,717.724
1.3524,717.29
1.35413,716.856
1.35585,716.422
1.35758,715.988
1.3593,715.554
1.36102,715.12
1.36275,714.685
